timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.13,1204.43,4,1
7.65,2.52,1222.89,3,2
8.08,2.58,1223.05,4,3
8.502,2.6,1227.18,4,4
8.919,2.57,1228.29,4,5
9.341,2.61,1229.42,4,6
9.755,2.56,1229.46,4,7
10.177,2.6,1229.45,4,8
10.595,2.58,1230.56,4,9
11.015,2.57,1230.56,4,10
11.434,2.56,1230.56,4,11
11.856,2.58,1230.57,4,12
12.28,2.56,1231.67,4,13
12.703,2.53,1231.67,4,14
13.13,2.59,1231.67,4,15
13.547,2.6,1231.67,4,16
13.963,2.57,1231.68,4,17
14.387,2.58,1231.68,4,18
14.806,2.55,1231.67,4,19
15.233,2.57,1232.1,4,20
15.653,2.57,1232.12,4,21
16.073,2.58,1232.11,4,22
16.491,2.59,1232.11,4,23
16.91,2.58,1232.11,4,24
17.33,2.58,1232.16,4,25
17.75,2.57,1232.15,5,26
18.172,2.57,1233.15,4,27
18.596,2.56,1233.15,4,28
19.026,2.48,1233.15,4,29
19.463,2.5,1233.16,4,30
19.898,2.51,1234.16,4,31
20.328,2.45,1234.16,6,32
