timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.45,1167.12,4,1
2.274,1.4,1190.35,3,2
3.015,1.98,1187.67,4,3
3.555,2.35,1192.68,4,4
4.012,2.49,1193.81,4,5
4.436,2.28,1194.94,4,6
4.908,2.13,1195.07,4,7
5.412,2.04,1195.06,4,8
5.942,2.03,1196.16,5,9
6.473,2.01,1196.16,4,10
7.006,2.13,1196.16,4,11
7.511,2.01,1196.21,5,12
8.039,2.04,1197.29,5,13
8.554,2.05,1197.3,5,14
9.072,2.09,1197.3,5,15
9.577,2.09,1197.36,5,16
10.079,1.97,1197.35,5,17
10.612,2.16,1197.36,5,18
11.113,2.03,1197.36,5,19
11.631,2.07,1197.79,5,20
12.15,2.1,1197.8,5,21
12.654,2.06,1197.81,5,22
13.172,2.03,1197.81,5,23
13.693,2.01,1200.71,5,24
14.229,2.0,1201.01,6,25
14.762,2.02,1201.21,6,26
15.281,2.06,1210.73,6,27
15.801,2.03,1210.74,6,28
16.319,2.03,1210.77,6,29
16.836,2.04,1210.76,5,30
17.368,2.02,1211.77,6,31
17.903,1.98,1211.87,7,32
18.45,2.14,1211.88,6,33
18.94,2.04,1211.94,8,34
19.459,1.9,1211.94,8,35
20.007,1.94,1211.94,8,36
20.554,2.0,1210.68,8,37
21.09,1.92,1210.68,9,38
21.639,2.0,1210.7,8,39
22.177,1.92,1210.7,9,40
22.728,1.92,1209.4,9,41
23.282,1.95,1210.73,8,42
23.82,2.0,1210.71,8,43
24.353,2.02,1209.4,8,44
24.872,1.9,1210.74,10,45
25.42,2.12,1210.74,10,46
25.922,1.93,1210.73,10,47
26.472,1.98,1210.73,10,48
27.008,1.97,1210.92,10,49
27.545,1.98,1207.23,11,50
28.086,2.04,1203.37,10,51
28.605,2.01,1202.66,11,52
29.134,2.01,1202.7,11,53
29.669,1.93,1202.71,12,54
