timestamp,fps,memory_mb,num_tracks,frame_number
0.0,1.12,749.6,3,1
0.918,2.28,798.31,3,2
1.379,2.17,768.89,3,3
1.868,2.19,771.09,3,4
2.349,1.75,773.23,3,5
2.956,2.05,775.07,3,6
3.48,2.17,774.32,3,7
3.973,2.21,772.37,4,8
4.449,2.22,775.24,4,9
4.924,2.2,775.48,3,10
5.402,2.19,773.48,4,11
5.879,2.17,775.48,4,12
6.373,2.44,777.32,4,13
6.932,2.77,775.33,4,14
7.318,2.84,778.59,4,15
7.692,3.07,788.99,4,16
8.043,3.21,788.99,4,17
8.383,3.72,788.99,4,18
8.674,3.76,788.99,4,19
8.958,3.7,789.42,4,20
9.248,3.65,789.42,4,21
9.539,3.69,789.42,4,22
9.842,3.8,789.42,4,23
10.13,3.8,801.13,4,24
10.418,3.71,791.17,4,25
10.716,3.8,791.63,4,26
10.993,3.73,792.71,4,27
11.279,3.79,792.87,4,28
11.562,3.79,792.96,4,29
11.844,3.77,792.96,4,30
12.141,3.8,793.92,4,31
12.433,3.79,793.9,4,32
12.728,3.79,794.0,5,33
13.01,3.75,793.91,5,34
13.307,3.76,793.91,4,35
13.591,3.8,793.91,5,36
13.873,3.75,793.95,6,37
14.16,3.73,794.05,5,38
14.448,3.76,793.96,6,39
14.733,3.77,793.96,6,40
15.018,3.74,794.06,5,41
15.31,3.77,793.75,5,42
15.608,3.54,793.75,6,43
15.908,3.73,793.75,6,44
16.197,3.72,793.75,6,45
16.484,3.56,793.75,6,46
16.788,3.77,793.75,6,47
17.071,3.7,793.76,6,48
17.371,3.79,795.58,7,49
17.653,3.73,795.98,7,50
17.948,3.78,796.23,6,51
18.233,3.52,796.3,6,52
18.538,3.75,794.96,7,53
18.835,3.75,794.86,6,54
19.132,3.79,794.87,7,55
19.413,3.79,794.87,7,56
19.702,3.81,794.97,7,57
19.985,3.74,794.88,7,58
20.278,3.74,794.88,7,59
20.563,3.65,794.88,7,60
20.867,3.32,782.44,8,61
21.199,3.2,783.44,7,62
21.617,2.89,780.33,7,63
22.09,1.94,775.32,7,64
22.63,1.94,786.15,7,65
23.169,2.12,786.33,7,66
23.67,1.96,775.27,7,67
24.206,1.85,775.07,7,68
24.776,1.75,775.08,7,69
25.372,2.11,776.34,7,70
25.868,2.69,786.16,7,71
26.26,3.18,783.49,7,72
26.595,3.22,783.49,7,73
26.999,2.69,777.66,7,74
27.4,2.65,787.4,6,75
27.812,2.96,787.55,5,76
28.174,3.32,783.23,5,77
28.507,3.25,783.39,5,78
28.839,2.99,786.2,5,79
29.201,3.38,795.84,5,80
